iter	RMSE
0	3444.173166
1	2787.22876
2	2423.616008
3	2196.453503
4	2045.600656
5	1964.204549
6	1906.705417
7	1872.404286
8	1849.671195
9	1834.563233
10	1810.24424
11	1797.879192
12	1788.788389
13	1779.927175
14	1769.845613
15	1761.269715
16	1755.522334
17	1744.468296
18	1737.654178
19	1731.40055
20	1726.993936
21	1723.203928
22	1718.787072
23	1713.010718
24	1709.394963
25	1705.285023
26	1702.058883
27	1697.295414
28	1693.889288
29	1689.703219
30	1685.860992
31	1681.404121
32	1678.258131
33	1674.810547
34	1669.264675
35	1664.713858
36	1662.023102
37	1657.82342
38	1652.143958
39	1650.128696
40	1647.747899
41	1645.290207
42	1642.538823
43	1640.239709
44	1638.233094
45	1636.476018
46	1632.927745
47	1629.618677
48	1626.634803
49	1625.027392
50	1622.028571
51	1618.197673
52	1614.774312
53	1612.860148
54	1610.695868
55	1607.584985
56	1605.662311
57	1603.598247
58	1601.755284
59	1600.520427
60	1597.966366
61	1596.272922
62	1594.628812
63	1591.939342
64	1590.110523
65	1588.399894
66	1586.249036
67	1584.850013
68	1582.625091
69	1581.188854
70	1579.818091
71	1578.279245
72	1576.848743
73	1573.961048
74	1571.863456
75	1570.331039
76	1569.015212
77	1567.398876
78	1566.182056
79	1563.826687
80	1561.985525
81	1561.137555
82	1559.498131
83	1556.6277
84	1555.317912
85	1554.172545
86	1553.225208
87	1551.754501
88	1550.008118
89	1547.898621
90	1546.653612
91	1544.021808
92	1541.814116
93	1541.234646
94	1540.930118
95	1540.913079
96	1540.194289
97	1539.065074
98	1538.269844
99	1536.190267
100	1534.70135
101	1534.435328
102	1532.876443
103	1530.98087
104	1529.141447
105	1528.073309
106	1526.485204
107	1525.390881
108	1523.5829
109	1522.643448
110	1520.070538
111	1517.991384
112	1515.949829
113	1514.818815
114	1513.500576
115	1512.079376
116	1511.110771
117	1509.830571
118	1509.816249
119	1508.777136
120	1508.35874
121	1506.791797
122	1505.985508
123	1504.800911
124	1503.827647
125	1502.864765
126	1502.512085
127	1501.419236
128	1500.821453
129	1500.308922
130	1498.710068
131	1497.812373
132	1496.398413
133	1495.165957
134	1494.188191
135	1493.572678
136	1492.565094
137	1491.384051
138	1490.090158
139	1489.310144
140	1488.813822
141	1487.956707
142	1487.270301
143	1486.146834
144	1485.711097
145	1485.099601
146	1484.005401
147	1482.391673
148	1481.436402
149	1480.324972
150	1479.434532
151	1478.473264
152	1477.371066
153	1474.913757
154	1473.80345
155	1473.330146
156	1472.730538
157	1472.089317
158	1471.204686
159	1470.262711
160	1469.598476
161	1468.876051
162	1468.776226
163	1468.299754
164	1467.388144
165	1466.274882
166	1465.132944
167	1464.161041
168	1463.059762
169	1461.782421
170	1460.971694
171	1460.2864
172	1459.585418
173	1458.257415
174	1457.622616
175	1456.293346
176	1455.32677
177	1454.058882
178	1453.163523
179	1452.77294
180	1451.948655
181	1451.368837
182	1450.710443
183	1450.170892
184	1449.452013
185	1449.013926
186	1448.373031
187	1447.596772
188	1446.7156
189	1446.307809
190	1444.941504
191	1444.243524
192	1443.682228
193	1442.886405
194	1441.959716
195	1441.223427
196	1440.923128
197	1440.346106
198	1439.971603
199	1439.302469
200	1438.842971
201	1438.514809
202	1438.035227
203	1437.617221
204	1436.20271
205	1435.60765
206	1434.774995
207	1433.789165
208	1433.133918
209	1432.675704
210	1431.738676
211	1431.473849
212	1430.999395
213	1430.491411
214	1430.212721
215	1429.258749
216	1428.910614
217	1428.031001
218	1427.481524
219	1426.617137
220	1426.010494
221	1425.188042
222	1424.329149
223	1423.654395
224	1423.381416
225	1422.664937
226	1421.798038
227	1421.350045
228	1420.562664
229	1419.468947
230	1419.024827
231	1418.535187
232	1417.802202
233	1417.262014
234	1416.763519
235	1416.378835
236	1415.971682
237	1415.287333
238	1414.452001
239	1413.828079
240	1413.349554
241	1412.454152
242	1411.536528
243	1411.126786
244	1410.731247
245	1410.135144
246	1409.613905
247	1409.213191
248	1408.505916
249	1407.822962
250	1407.359084
251	1406.787581
