iter	Logloss
0	0.5675925473
1	0.503721322
2	0.4713936386
3	0.4470465868
4	0.4367612815
5	0.4297913051
6	0.4250609478
7	0.4200158589
8	0.4154313704
9	0.407274152
10	0.4055127937
11	0.4033562609
12	0.4017814714
13	0.400562037
14	0.3979859831
15	0.3963305018
16	0.394681141
17	0.391808279
18	0.3873385224
19	0.3832759129
20	0.3800814399
21	0.3792551435
22	0.3781151655
23	0.3757752402
24	0.3747242308
25	0.3738870549
26	0.3718658183
27	0.3710755156
28	0.370209962
29	0.3678166499
30	0.3643770081
31	0.3632259512
32	0.3620406794
33	0.3611265096
34	0.3593302841
35	0.3580697291
36	0.3546393586
37	0.3523440402
38	0.3504336686
39	0.3482259133
40	0.3471200843
41	0.3457968903
42	0.3446942478
43	0.3430888239
44	0.3414398719
45	0.3397183445
46	0.3383854411
47	0.3370140421
48	0.3357515386
49	0.334860429
50	0.3334191776
51	0.332876794
52	0.331492183
53	0.3306299571
54	0.3293519291
55	0.3286816914
56	0.3277399927
57	0.3264077407
58	0.3252583944
59	0.3240543089
60	0.3224878464
61	0.3214637209
62	0.3205890588
63	0.3198758601
64	0.3178537556
65	0.3171795761
66	0.3161949091
67	0.3149618203
68	0.3141406009
69	0.3132503459
70	0.3115180705
71	0.3109215042
72	0.3101212346
73	0.3088929495
74	0.307911573
75	0.3072889432
76	0.3065779725
77	0.30541088
78	0.3045950153
79	0.303912076
80	0.303426038
81	0.3025725179
82	0.3016888408
83	0.300788096
84	0.2998476023
85	0.2990378595
86	0.2983427909
87	0.2975764912
88	0.2967731125
89	0.2961229576
90	0.2952725674
91	0.2942197001
92	0.2932201064
93	0.292512926
94	0.2917585262
95	0.2905926618
96	0.2901287971
97	0.2895789116
98	0.288728759
99	0.2877007208
100	0.2872548755
101	0.2867343058
102	0.2858459512
103	0.2853015404
104	0.2846370381
105	0.2839723841
106	0.2832147842
107	0.2825483346
108	0.2820122047
109	0.2813311308
110	0.2805033768
111	0.2799734354
112	0.2794506284
113	0.2787612518
114	0.2781850351
115	0.2775491373
116	0.2769924202
117	0.276039068
118	0.275268655
119	0.274800703
120	0.2742708346
121	0.2735379805
122	0.2728991976
123	0.2723104489
124	0.2718147854
125	0.2713753683
126	0.2704726259
127	0.2699572236
128	0.269243107
129	0.2687870388
130	0.268186275
131	0.2673666733
132	0.2667187844
133	0.2658969754
134	0.2657534098
135	0.2648310359
136	0.2644147963
137	0.263815047
138	0.2632796654
139	0.26228473
140	0.261993496
141	0.2614069898
142	0.260816316
143	0.2605825921
144	0.2598175727
145	0.2592336288
146	0.2586252044
147	0.2580063489
148	0.2575108927
149	0.2566077271
150	0.2561821083
151	0.2560241932
152	0.2558270687
153	0.2553300333
154	0.2548737561
155	0.2542148555
156	0.2535310161
157	0.2531356174
158	0.2525969023
159	0.2520608368
160	0.2512968152
161	0.2508055866
162	0.2504024236
163	0.2498819613
164	0.2493153209
165	0.2486244321
166	0.2481609214
167	0.247781031
168	0.2472519348
169	0.2468377407
170	0.2461075969
171	0.2456222314
172	0.2449874868
173	0.2444821559
174	0.2439958188
175	0.2434926857
176	0.2428299632
177	0.2422001728
178	0.2413941558
179	0.2408873848
180	0.2403110879
181	0.2397679121
182	0.2392714407
183	0.2388616557
184	0.2383250054
185	0.2379301831
186	0.2374639394
187	0.2369131446
188	0.2365246584
189	0.2360565384
190	0.2354257315
191	0.2349845087
192	0.2347061242
193	0.23431613
194	0.2337303692
195	0.2333969762
196	0.2330876156
197	0.2328533229
198	0.2325762678
199	0.2321563557
200	0.2316123135
201	0.2310687499
202	0.2306646812
203	0.2303787956
204	0.2300050131
205	0.2296638785
206	0.2294745537
207	0.2291524115
208	0.2287118446
209	0.2283553501
210	0.2278808754
211	0.2270172922
212	0.2268212031
213	0.2265706359
214	0.226169467
215	0.2258605072
216	0.2254861759
217	0.2250962558
218	0.2247290604
219	0.2243947077
220	0.2240625657
221	0.2236588998
222	0.2234293787
223	0.2229931325
224	0.2227473184
225	0.222430528
226	0.2219675505
227	0.2210443315
228	0.2206564184
229	0.2200324004
230	0.219652332
231	0.2193493028
232	0.2189623608
233	0.2188619727
234	0.2184083057
235	0.2180715087
236	0.2176589307
237	0.2173507255
238	0.2170380765
239	0.2167627445
240	0.2162063325
241	0.2155022131
242	0.2151077799
243	0.2149190188
244	0.2141524049
245	0.2137662901
246	0.2135787615
247	0.2132461061
248	0.2130486816
249	0.2128351536
250	0.2124941768
251	0.2119088409
252	0.2116839248
253	0.2112280397
254	0.2107508319
255	0.210241187
256	0.2097426267
257	0.2092431291
258	0.2088314442
259	0.2085615311
260	0.2080576371
261	0.2076811508
262	0.2073629878
263	0.2071920204
264	0.2069927646
265	0.2066379862
266	0.2064699719
267	0.2061076415
268	0.2058708353
269	0.2055405799
270	0.2052131268
271	0.2047674438
272	0.2043959318
273	0.2041308179
274	0.2036614353
275	0.2032844374
276	0.2028380379
277	0.202521343
278	0.2019306029
279	0.2014103681
280	0.2012592547
281	0.2006418854
282	0.2001059763
283	0.1998884918
