iter	Logloss
284	0.1995253464
285	0.1992368995
286	0.1989570654
287	0.1985683681
288	0.1983006025
289	0.1979374988
290	0.1976281877
291	0.1970984889
292	0.1967259143
293	0.1965492797
294	0.1963483852
295	0.1957789127
296	0.1954314338
297	0.1950799168
298	0.1947787478
299	0.1944724827
300	0.19425062
301	0.1940128483
302	0.1936979227
303	0.1933024625
304	0.192902291
305	0.1925843319
306	0.1921220247
307	0.191604078
308	0.191355461
309	0.1912167122
310	0.1906348579
311	0.1902893328
312	0.1900321139
313	0.189793096
314	0.1895595653
315	0.1892748194
316	0.1888295488
317	0.1884542588
318	0.1880698112
319	0.1878224929
320	0.1875091697
321	0.1871675891
322	0.1869450279
323	0.1864590644
324	0.1861123953
325	0.1857586613
326	0.185371024
327	0.1850327078
328	0.1848023977
329	0.1847339406
330	0.1842827128
331	0.184109699
332	0.1837616123
333	0.1835937439
334	0.1832617541
335	0.1829550638
336	0.1827773064
337	0.1824926437
338	0.182063
339	0.1817298358
340	0.1814474129
341	0.1810318464
