iter	Passed	Remaining
0	3	2394
1	7	2123
2	10	1995
3	12	1920
4	16	1953
5	19	1937
6	22	1929
7	26	1925
8	28	1902
9	31	1867
10	34	1842
11	37	1822
12	39	1804
13	42	1782
14	45	1763
15	48	1753
16	50	1739
17	53	1725
18	56	1720
19	59	1713
20	62	1710
21	64	1701
22	67	1692
23	70	1694
24	73	1690
25	76	1686
26	79	1681
27	81	1674
28	84	1666
29	87	1660
30	90	1653
31	92	1648
32	95	1644
33	98	1635
34	100	1630
35	103	1624
36	106	1616
37	109	1613
38	111	1608
39	114	1606
40	118	1614
41	121	1609
42	123	1604
43	126	1599
44	129	1592
45	131	1586
46	134	1580
47	136	1575
48	139	1570
49	142	1569
50	145	1568
51	148	1569
52	151	1567
53	154	1564
54	157	1563
55	160	1559
56	162	1552
57	165	1548
58	168	1543
59	171	1539
60	173	1535
61	176	1529
62	178	1524
63	181	1519
64	184	1515
65	187	1513
66	189	1510
67	192	1506
68	195	1501
69	197	1496
70	200	1491
71	202	1486
72	205	1482
73	207	1477
74	210	1472
75	212	1467
76	215	1463
77	218	1460
78	221	1458
79	223	1454
80	226	1450
81	228	1446
82	231	1442
83	234	1439
84	236	1435
85	239	1430
86	241	1426
87	244	1421
88	247	1418
89	249	1414
90	252	1411
91	254	1407
92	257	1404
93	260	1400
94	262	1397
95	265	1394
96	268	1390
97	270	1387
98	273	1384
99	276	1381
100	278	1378
101	281	1374
102	284	1371
103	286	1368
104	289	1364
105	291	1360
106	294	1357
107	297	1353
108	299	1350
109	302	1347
110	305	1343
111	307	1340
112	310	1336
113	312	1332
114	315	1329
115	318	1327
116	320	1324
117	323	1321
118	326	1318
119	328	1315
120	331	1311
121	333	1308
122	336	1304
123	338	1300
124	341	1297
125	343	1293
126	346	1289
127	348	1285
128	351	1282
129	353	1278
130	356	1275
131	358	1271
132	361	1268
133	363	1264
134	366	1260
135	368	1257
136	371	1255
137	374	1252
138	376	1248
139	378	1244
140	381	1242
141	384	1238
142	386	1235
143	389	1232
144	391	1228
145	394	1225
146	396	1222
147	399	1218
148	401	1215
149	404	1212
150	406	1209
151	409	1205
152	411	1201
153	413	1198
154	416	1195
155	418	1192
156	421	1189
157	424	1186
158	426	1183
159	429	1180
160	431	1176
161	433	1173
162	436	1169
163	438	1166
164	441	1162
165	443	1159
166	446	1156
167	448	1153
168	451	1150
169	453	1147
170	456	1144
171	458	1141
172	460	1137
173	463	1134
174	466	1131
175	468	1129
176	471	1126
177	474	1123
178	476	1121
179	479	1119
180	482	1116
181	484	1113
182	487	1110
183	490	1108
184	492	1104
185	495	1101
186	497	1099
187	500	1096
188	502	1093
189	505	1090
190	507	1087
191	510	1085
192	513	1082
193	515	1079
194	518	1077
195	521	1074
196	523	1071
197	526	1068
198	529	1066
199	531	1063
200	534	1061
201	537	1058
202	539	1055
203	542	1053
204	545	1050
205	547	1047
206	550	1045
207	553	1042
208	555	1039
209	558	1036
210	560	1033
211	563	1031
212	566	1028
213	568	1025
214	571	1023
215	574	1020
216	576	1018
217	579	1015
218	582	1013
219	585	1010
220	587	1008
221	590	1005
222	593	1003
223	596	1000
224	598	998
225	601	995
226	604	992
227	606	990
228	609	987
229	611	984
230	614	981
231	616	978
232	619	975
233	621	972
234	624	970
235	627	967
236	629	964
237	632	961
238	634	958
239	637	955
240	640	953
241	642	951
242	645	948
243	648	945
244	650	943
245	653	940
246	656	938
247	659	935
248	661	933
249	664	930
250	667	927
251	669	925
252	673	923
253	675	920
254	678	917
255	680	914
256	683	912
257	686	909
258	689	907
259	691	904
260	694	901
261	696	898
262	699	896
263	702	893
264	704	891
265	707	888
266	710	885
267	713	883
268	715	880
269	718	877
270	720	875
271	723	872
272	726	869
273	728	866
274	731	864
275	733	861
276	736	858
277	738	855
278	741	853
279	744	850
280	747	848
281	750	846
282	753	844
283	756	841
284	759	839
285	763	837
286	766	835
287	769	833
288	772	831
289	775	829
290	778	826
291	780	823
292	783	820
293	786	818
294	788	815
295	791	812
296	793	809
297	796	807
298	798	804
299	801	801
300	804	799
301	807	796
302	810	794
303	813	791
304	815	789
305	818	786
306	821	783
307	823	781
308	826	778
309	829	775
310	832	773
311	834	770
312	837	767
313	839	765
314	842	762
315	845	759
316	847	756
317	850	754
318	852	751
319	855	748
320	857	745
321	860	742
322	863	740
323	866	737
324	868	735
325	871	732
326	874	729
327	876	727
328	879	724
329	882	721
330	884	718
331	887	716
332	889	713
333	892	710
334	895	708
335	898	705
336	900	702
337	903	700
338	906	697
339	908	695
340	911	692
341	914	689
342	916	686
343	919	684
344	921	681
345	924	678
346	927	675
347	930	673
348	932	670
349	935	667
350	937	665
351	940	662
352	942	659
353	945	657
354	948	654
355	950	651
356	952	648
357	955	645
358	958	643
359	960	640
360	963	637
361	966	635
362	968	632
363	971	629
364	974	627
365	976	624
366	979	621
367	981	618
368	984	616
369	986	613
370	989	610
371	992	608
372	994	605
373	997	602
374	1000	600
375	1002	597
376	1005	594
377	1007	591
378	1010	589
379	1013	586
380	1015	583
381	1018	581
382	1020	578
383	1023	575
384	1025	572
385	1028	570
386	1030	567
387	1033	564
388	1035	561
389	1038	559
390	1040	556
391	1043	553
392	1045	550
393	1048	548
394	1050	545
395	1052	542
396	1055	539
397	1057	536
398	1060	534
399	1062	531
400	1065	528
401	1067	526
402	1070	523
403	1073	520
404	1075	517
405	1078	515
406	1080	512
407	1083	509
408	1085	507
409	1088	504
410	1091	501
411	1094	499
412	1097	496
413	1099	494
414	1102	491
415	1105	488
416	1108	486
417	1110	483
418	1113	480
419	1115	478
420	1118	475
421	1120	472
422	1123	470
423	1125	467
424	1128	464
425	1131	462
426	1133	459
427	1136	456
428	1138	453
429	1141	451
430	1143	448
431	1145	445
432	1148	442
433	1150	440
434	1152	437
435	1155	434
436	1158	432
437	1160	429
438	1163	426
439	1165	423
440	1168	421
441	1170	418
442	1173	415
443	1175	413
444	1178	410
445	1181	407
446	1183	405
447	1186	402
448	1188	399
449	1191	397
450	1193	394
451	1196	391
452	1198	389
453	1201	386
454	1204	383
455	1206	381
456	1209	378
457	1212	375
458	1214	373
459	1217	370
460	1220	367
461	1222	365
462	1225	362
463	1227	359
464	1230	357
465	1232	354
466	1235	351
467	1237	349
468	1240	346
469	1243	343
470	1245	341
471	1248	338
472	1250	335
473	1253	333
474	1256	330
475	1258	327
476	1261	325
477	1263	322
478	1266	319
479	1268	317
480	1271	314
481	1273	311
482	1276	309
483	1278	306
484	1281	303
485	1284	301
486	1286	298
487	1288	295
488	1291	293
489	1293	290
490	1296	287
491	1298	285
492	1301	282
493	1304	279
494	1306	277
495	1309	274
496	1311	271
497	1314	269
498	1317	266
499	1319	263
500	1322	261
501	1324	258
502	1327	255
503	1330	253
504	1332	250
505	1335	248
506	1337	245
507	1340	242
508	1342	240
509	1345	237
510	1347	234
511	1350	232
512	1353	229
513	1355	226
514	1358	224
515	1360	221
516	1363	218
517	1366	216
518	1368	213
519	1371	210
520	1373	208
521	1376	205
522	1378	203
523	1381	200
524	1384	197
525	1386	195
526	1389	192
527	1391	189
528	1394	187
529	1396	184
530	1399	181
531	1401	179
532	1404	176
533	1407	173
534	1409	171
535	1412	168
536	1414	165
537	1417	163
538	1420	160
539	1422	158
540	1425	155
541	1427	152
542	1430	150
543	1432	147
544	1435	144
545	1437	142
546	1440	139
547	1442	136
548	1445	134
549	1448	131
550	1450	129
551	1453	126
552	1455	123
553	1458	121
554	1461	118
555	1463	115
556	1466	113
557	1468	110
558	1471	107
559	1474	105
560	1477	102
561	1479	100
562	1482	97
563	1485	94
564	1487	92
565	1489	89
566	1492	86
567	1495	84
568	1497	81
569	1500	78
570	1503	76
571	1506	73
572	1508	71
573	1511	68
574	1514	65
575	1516	63
576	1519	60
577	1522	57
578	1524	55
579	1527	52
580	1529	50
581	1532	47
582	1535	44
583	1537	42
584	1540	39
585	1542	36
586	1545	34
587	1548	31
588	1550	28
589	1553	26
590	1556	23
591	1558	21
592	1561	18
593	1564	15
594	1566	13
595	1569	10
596	1572	7
597	1575	5
598	1577	2
599	1580	0
